代码,total_weight,total_weight_pct,appear_in,159338成分股,159691成分股,159801成分股,159841成分股,159850成分股,510050成分股,510300成分股,512690成分股,512760成分股,513600成分股,513980成分股,515790成分股
603260.SH,0.00010560795979836665,0.0106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0012672955175803999,0.0,0.0,0.0,0.0,0.0
002465.SZ,0.00010482797231955917,0.0105,1,0.00125793566783471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000895.SZ,0.00010428455178084333,0.0104,1,0.0,0.0,0.0,0.0,0.0,0.0,0.00125141462137012,0.0,0.0,0.0,0.0,0.0
002738.SZ,0.00010246104650135667,0.0102,1,0.00122953255801628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002841.SZ,0.00010077735700181082,0.0101,1,0.00120932828402173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600316.SH,0.00010016732457443915,0.01,1,0.00120200789489327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300002.SZ,0.00010014292327734418,0.01,1,0.0012017150793281301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300450.SZ,9.931327917611833e-05,0.0099,1,0.00119175935011342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300024.SZ,9.75563857852875e-05,0.0098,1,0.00117067662942345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002532.SZ,9.740997800271834e-05,0.0097,1,0.00116891973603262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600038.SH,9.723916892305498e-05,0.0097,1,0.00116687002707666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300251.SZ,9.697075465501083e-05,0.0097,1,0.00116364905586013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002432.SZ,9.67267416840625e-05,0.0097,1,0.00116072090020875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002555.SZ,9.589709758283667e-05,0.0096,1,0.00115076517099404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300003.SZ,9.560428201769833e-05,0.0096,1,0.00114725138421238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600026.SH,9.534182554014591e-05,0.0095,2,0.000623697153744862,0.0,0.0,0.0,0.0,0.0,0.000520404752736889,0.0,0.0,0.0,0.0,0.0
601168.SH,9.433541456876499e-05,0.0094,1,0.00113202497482518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600895.SH,9.409140159781666e-05,0.0094,1,0.0011290968191738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000933.SZ,9.409140159781666e-05,0.0094,1,0.0011290968191738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002223.SZ,9.262732377212416e-05,0.0093,1,0.00111152788526549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300919.SZ,9.2480915989555e-05,0.0092,1,0.00110977099187466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002085.SZ,9.238331080117581e-05,0.0092,1,0.0011085997296141098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0316.HK,9.200675695968749e-05,0.0092,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00110408108351625,0.0,0.0
300627.SZ,9.167567318542415e-05,0.0092,1,0.0011001080782250898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300346.SZ,8.9674766823645e-05,0.009,1,0.00107609720188374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600118.SH,8.9625964229455e-05,0.009,1,0.00107551157075346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002472.SZ,8.930874736722165e-05,0.0089,1,0.00107170496840666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1876.HK,8.92595304244075e-05,0.0089,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010711143650928901,0.0,0.0
301358.SZ,8.879632012823e-05,0.0089,1,0.00106555584153876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002008.SZ,8.874751753404e-05,0.0089,1,0.00106497021040848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300017.SZ,8.828389288923749e-05,0.0088,1,0.00105940671467085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000066.SZ,8.803987991828917e-05,0.0088,1,0.00105647855901947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
